rank,meets_criteria,criteria_marker,score,horizon,delta_regularisation_strength,control_regularisation_strength,std_weight,wind_enabled,measurement_sample_position_error_std_m,measurement_sample_yaw_error_std_rad,avg_final_position_error_m,avg_final_yaw_error_rad,avg_mean_position_error_m,avg_mean_yaw_error_rad,avg_position_error_variance_m2,avg_yaw_error_variance_rad2,avg_peak_position_overshoot_m,avg_peak_yaw_overshoot_rad,measurement_sample_mean_position_error_m,measurement_sample_mean_yaw_error_rad,measurement_sample_position_error_variance_m2,measurement_sample_yaw_error_variance_rad2
1,True,*,0.008135164731434857,15,0.1,3.0,0.1,False,0.0029845322052198045,4.96552163792796e-09,0.00461976111179808,3.291685218842488e-10,0.007836722330333237,1.647665228801162e-09,5.186837711468316e-06,2.1768632406336225e-17,0.13578831587877818,0.0014458014843387523,0.00783670936669718,1.6476635337048883e-09,8.90743248399419e-06,2.4656405136730768e-17
2,True,*,0.008190043526641117,20,0.1,3.0,0.1,False,0.00268762581939656,1.0380658895640613e-07,0.00477598995788216,2.765181478237011e-10,0.00792125992860825,1.8900512004073433e-08,4.774455996237213e-06,9.60667780308327e-15,0.19258400413791485,0.0016366854580981513,0.007921251663488754,1.8900553810627175e-08,7.22333254508703e-06,1.0775807910764258e-14
3,True,*,0.009301515088919203,10,0.1,3.0,0.1,False,0.003827378244080089,2.1049102871507972e-09,0.005125365969855872,4.444962195537805e-10,0.008918792159436193,1.3221757116299679e-09,7.558099933901983e-06,1.2565991147265265e-18,0.08440764406623354,0.000546292630854147,0.008918775731847675,1.3221724917521145e-09,1.4648824223257583e-05,4.430647316953252e-18
4,True,*,0.009759525897802188,20,0.5,3.0,0.1,False,0.004384344784284949,2.06362651987439e-09,0.005465421155167859,4.128626983346262e-10,0.009321112212835292,1.2568677504517996e-09,7.800427184311035e-06,1.6572805258431926e-18,0.0845568114471504,0.00043716824095113154,0.00932108995614663,1.2568644110497298e-09,1.9222479187486637e-05,4.258554413528887e-18
5,False,,0.012879862532449207,15,0.5,3.0,0.1,False,0.006139958135501939,1.0669565328198404e-08,0.007303975463696084,4.5876274987199925e-10,0.012265893627651703,2.5859814189792102e-09,1.3107133874154873e-05,9.934513031072472e-17,0.10155574367252207,0.0001626902017998902,0.012265863065966208,2.5859762724862567e-09,3.769908590571644e-05,1.1383962429269352e-16
6,False,,0.01456832680403839,20,1.0,3.0,0.1,False,0.0069916497394791645,4.989015846134592e-08,0.008413652225947539,4.100489646441385e-10,0.013869167229432551,8.482474525072655e-09,1.5798636033703763e-05,2.214537923558745e-15,0.11568846787319309,0.00021130636283704012,0.013869148358609485,8.482465141910378e-09,4.888316607955907e-05,2.489027911298206e-15
7,False,,0.01864691265435201,20,2.0,3.0,0.1,False,0.008662530345079326,2.1525103136628204e-06,0.011027372700436824,3.432929905622384e-10,0.017779847098075494,6.601524569892197e-07,2.3407380140685218e-05,3.909091225109631e-12,0.11991271338027615,0.00010522102373654863,0.017779784216823764,6.601519889477285e-07,7.503943197942015e-05,4.633300650424813e-12
8,False,,0.018811263963436416,15,1.0,3.0,0.1,False,0.009170387809076346,4.818569622556044e-07,0.010975818174751078,4.4723464875939814e-10,0.01789406830275862,1.3082546103980437e-07,2.5211502383493214e-05,1.999424797228042e-13,0.128038921861383,5.83457680203911e-05,0.017894046171402583,1.3082542997057601e-07,8.409601256885607e-05,2.3218613207419893e-13
9,False,,0.020039913572587418,5,0.1,3.0,0.1,False,0.00984390958623807,4.055495144981019e-07,0.011448625091606228,6.75290289103847e-10,0.01905540636195776,1.2190588158533897e-07,3.101476691786165e-05,1.4116672255833246e-13,0.13365751252278021,3.910880344268258e-05,0.019055360153188837,1.219058233258261e-07,9.690255594202976e-05,1.6447040870964618e-13
10,False,,0.02009297472578774,10,0.5,3.0,0.1,False,0.010113806183533155,5.566313064310427e-07,0.011632818060830965,5.525639305836716e-10,0.019081403616596628,1.6723611138331357e-07,2.9701506934096137e-05,2.6539262745073985e-13,0.13783657119443724,1.3992726860568571e-05,0.019081371208288064,1.6723601571612856e-07,0.00010228907551807348,3.0983841129912935e-13
11,False,,0.0207993099578197,20,3.0,3.0,0.1,False,0.009853292278154974,2.618267940910303e-05,0.012427333134330597,3.6164307738728584e-09,0.01980190156510869,9.525515708562623e-06,3.2894428590613744e-05,5.526321515148055e-10,0.12241110258890156,0.0,0.019801836965396193,9.525496667098295e-06,9.708736871874845e-05,6.855327010398679e-10
12,False,,0.02275207523241774,15,2.0,3.0,0.1,False,0.011296402482332489,3.5346365175386515e-05,0.01355040366651205,7.3614808770994245e-09,0.02160560417401993,1.3377296069324814e-05,4.087658305298931e-05,9.966311169750319e-10,0.12592800344453162,0.0,0.02160552307950196,1.33772681649958e-05,0.0001276087090428476,1.2493655311117766e-09
13,False,,0.02553938240129376,10,1.0,3.0,0.1,False,0.01347922093852894,4.4134376006895183e-05,0.01512986753335257,1.3357121500662261e-08,0.024169661256553697,1.745910553613302e-05,5.0789616533358686e-05,1.5379973226894484e-09,0.13442434843976472,0.0,0.024169587799898275,1.7459069941903536e-05,0.00018168939710967703,1.9478431455180053e-09
14,False,,0.02909842143675657,15,3.0,3.0,0.1,False,0.021194387648767365,0.0003049980760843928,0.015910322828455878,4.752433733931638e-07,0.026817324154719952,0.00013125468873238482,0.00020472991209317964,6.902332622381472e-08,0.12223960435834468,0.0,0.02681722848265059,0.0001312543816208052,0.00044920206780622266,9.302382641518106e-08
15,False,,0.04426070334119751,10,2.0,3.0,0.1,False,0.04067167022095059,0.0012720494404887667,0.018989069608809753,8.297691759106967e-06,0.03943757207517251,0.0006288867092059338,0.0008982420840173178,1.0994009982269619e-06,0.11308064112825329,0.0,0.039437446064010846,0.0006288853110427294,0.001654184758561759,1.6181097790477845e-06
16,False,,0.044594688807709615,5,0.5,3.0,0.1,False,0.03652522098056303,0.0011198178583440325,0.020763621483774055,7.211915834459958e-06,0.04026723710430596,0.0005630812770733639,0.0006357315088541047,8.543431336000388e-07,0.12932537395331806,0.0,0.04026710482328124,0.0005630801005376722,0.0013340917676789616,1.2539920358662157e-06
17,False,,0.09432263551360555,10,3.0,3.0,0.1,False,0.09463404332230856,0.005906763290317836,0.02181162232926072,0.0001449644274699663,0.08091888658168925,0.003349821646589075,0.005445000017732773,2.0437770252259104e-05,0.0936402464955977,0.0,0.08091874050230904,0.0033498143500338717,0.008955602155528573,3.48898525678464e-05
18,False,,0.1502011655543067,5,1.0,3.0,0.1,False,0.13084392933997935,0.01245698432340538,0.031347795203761734,0.00058522694878932,0.12816368760058316,0.007707576853934828,0.01023987674190135,8.068736990255364e-05,0.08218923629265391,0.0,0.12816351354187722,0.007707560646091024,0.01712013384512551,0.00015517645843356737
19,False,,0.5268127028986245,1,0.1,3.0,0.1,False,0.3427216134325065,0.07253281141330985,0.18265408619459142,0.01235533945744082,0.431760198038064,0.05352752974376316,0.046769885264788,0.0016714164670153017,0.027800624731943266,0.0,0.4317598418731514,0.053527418540891415,0.11745810431378044,0.005261008731518772
20,False,,0.5401748943218477,5,2.0,3.0,0.1,False,0.3476030293789471,0.07809422404319297,0.18773816394257775,0.013977378574243787,0.4395490557738084,0.05805659484964791,0.04757022960436085,0.0018764861609952914,0.026921485167039093,0.0,0.43954869450203393,0.05805647447759979,0.12082786603342116,0.006098707828908419
21,False,,0.9599851292517528,5,3.0,3.0,0.1,False,0.5322407279893477,0.17840439005819742,0.41522380116663415,0.053698537437053634,0.7455954347952382,0.1433260423745667,0.07137193478916853,0.006159909768137438,0.008578950573672816,0.0,0.7455948581228168,0.1433257593241815,0.28328019253063086,0.03182812639203745
22,False,,2.3552914363932307,1,0.5,3.0,0.1,False,0.9346302358592614,0.6722192949779627,1.2707137864965141,0.4003558800081472,1.6045925588205563,0.5900163335403924,0.056720978635305716,0.019570829291971757,0.001106477083673858,0.0,1.6045909746826965,0.5900155086268116,0.8735336777823387,0.45187878054066927
23,False,,3.280158064243257,1,1.0,3.0,0.1,False,1.0650629057927086,1.1282834026203863,1.8392723553563293,0.80342804248454,2.0784834570140966,0.9823413779058526,0.025884877902720187,0.015863194804497247,0.000811515745104705,0.0,2.078480625164605,0.9823428082373428,1.1343589932956082,1.2730234366286366
24,False,,3.75867389493405,1,2.0,3.0,0.1,False,1.0746494359494516,1.297093352139125,2.2737729118787775,0.9934488575960821,2.4210018751565845,1.1005043479384673,0.008974451040710095,0.005673758640073705,0.0,0.0,2.420997531933214,1.1005020841919777,1.1548714101864745,1.682451164163512
25,False,,3.9322521561065584,1,3.0,3.0,0.1,False,1.061792882571737,1.4027047175395722,2.450652681411887,1.0546719266199802,2.5562102011442365,1.1295988412768758,0.004460464646418463,0.003016600382688405,0.0,0.0,2.5562048269523823,1.129597569143045,1.1274041254799987,1.9675805246077707
