rank,meets_criteria,criteria_marker,score,horizon,delta_regularisation_strength,control_regularisation_strength,std_weight,wind_enabled,measurement_sample_position_error_std_m,measurement_sample_yaw_error_std_rad,avg_final_position_error_m,avg_final_yaw_error_rad,avg_mean_position_error_m,avg_mean_yaw_error_rad,avg_position_error_variance_m2,avg_yaw_error_variance_rad2,avg_peak_position_overshoot_m,avg_peak_yaw_overshoot_rad,measurement_sample_mean_position_error_m,measurement_sample_mean_yaw_error_rad,measurement_sample_position_error_variance_m2,measurement_sample_yaw_error_variance_rad2
1,True,*,0.008876275560242546,15,0.5,6.0,0.1,False,0.0033587435143289466,4.9302894374026636e-09,0.004993457104831822,3.619963585832497e-10,0.008540412830060474,1.7062341967268857e-09,6.37250460682463e-06,2.135361165837867e-17,0.14921355844373346,0.001610613430935845,0.008540399009549018,1.7062316896756156e-09,1.1281157995046763e-05,2.4307753936564274e-17
2,True,*,0.009088440318037459,10,0.5,3.0,0.1,False,0.0032005786306166404,6.052871094108867e-08,0.005232967645658721,3.1573834616271946e-10,0.008768371560007175,1.3352708054374514e-08,6.164734533020189e-06,3.3740932633622784e-15,0.22035926585902144,0.0020090064460983586,0.00876836304941384,1.335269086114074e-08,1.0243703570759888e-05,3.663724848189867e-15
3,True,*,0.009097772793144214,15,1.0,6.0,0.1,False,0.0034948444920743574,4.338730429148123e-09,0.005090051323230448,3.8507033436885327e-10,0.008748301972859186,1.613107189160585e-09,6.807547534898431e-06,1.577356717746339e-17,0.1488824326885693,0.0015869046275013576,0.008748286296959243,1.613104492568819e-09,1.2213938023782472e-05,1.8824581736815856e-17
4,True,*,0.009141077639039503,10,1.0,3.0,0.1,False,0.0032272312319846863,3.652437421077286e-08,0.005208455746681951,3.4618249183937523e-10,0.0088183516293632,7.78971365275699e-09,6.46168069473298e-06,1.2470898287644328e-15,0.217606923439374,0.002173152956575536,0.00881834307368931,7.789714304090194e-09,1.0415021424697395e-05,1.3340299114885696e-15
5,True,*,0.00930848572364647,5,0.5,1.5,0.1,False,0.0033951406250386216,2.4367504220496915e-08,0.0052626992591791755,3.627901913605402e-10,0.008968975474438009,5.180292333223161e-09,6.87093653340009e-06,5.611102436204359e-16,0.2068578600356629,0.0022468983476464704,0.00896896404410581,5.180286375043755e-09,1.1526979863787641e-05,5.937752619359349e-16
6,True,*,0.009415661203768983,15,2.0,6.0,0.1,False,0.003636822980402885,2.9660710142642017e-09,0.00523438278525987,4.16139608466759e-10,0.009051993786563114,1.4312844869604977e-09,7.44528844359135e-06,5.77980929504735e-18,0.1469437140525186,0.0018040584549387122,0.009051977177839234,1.4312823604097201e-09,1.3226481390786522e-05,8.797577261658271e-18
7,True,*,0.009499143163500838,10,2.0,3.0,0.1,False,0.0034488616627489145,2.4520788046174218e-08,0.005360847180350309,3.8352890613380096e-10,0.009154261686675167,5.639668108803428e-09,7.179611007685218e-06,5.629595745236754e-16,0.2253148251719667,0.007684270218236328,0.009154248905480403,5.639666738592865e-09,1.1894646768779206e-05,6.012690464054004e-16
8,True,*,0.009739428152302759,5,1.0,1.5,0.1,False,0.0035236847488739928,1.996914223056544e-08,0.005490796988667143,3.9081771360804927e-10,0.009387065274978698,5.407482478289073e-09,7.544827316714007e-06,3.8525967142053505e-16,0.2581056289279068,0.03297075878464392,0.009387052273021678,5.407479458570941e-09,1.2416354209447173e-05,3.9876664142455207e-16
9,True,*,0.009859092341667892,5,2.0,1.5,0.1,False,0.003591194010298312,3.1105836067878337e-08,0.0055336311758391685,4.105705818380212e-10,0.00949997749110611,6.140125843490859e-09,7.82740864983352e-06,9.320886009653583e-16,0.3577375174657703,0.12159540857075032,0.009499963689944393,6.1401100605745126e-09,1.2896674419602474e-05,9.675730374817208e-16
10,True,*,0.010399179251542105,10,0.5,6.0,0.1,False,0.004593146252671482,2.6266664504417195e-09,0.005646847533146467,5.027862763629099e-10,0.009939886211591888,1.5688722288700237e-09,9.893374789368355e-06,2.4345442478572184e-18,0.08574977850160323,0.0004631826636911761,0.009939862794739202,1.568869108730485e-09,2.1096992498430076e-05,6.899376641876101e-18
